id,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09708200776e-05,1.36124904511e-05,1.97739992656e-05,1.24530531955e-05,3.13303269919e-05,7.83818095018e-06,2.2545416886e-05,1.38235039952e-05,9.04883991776e-06,8.0439661128e-06,2.42272084375e-05,4.06254201367e-05,7.14033946715e-06,1.75229701085e-05,2.48547952577e-05,2.44810827364e-05,5.15377562512e-05,3.49798248188e-05,2.7133805524e-05,2.84820052273e-05,2.61403403758e-05,1.04916788064e-05,4.56983616663e-05,2.25919471207e-05,1.28146922326e-05,1.57743654843e-05,2.02535426778e-05,1.58201607525e-05,1.40472284832e-05,4.58173692528e-05,1.81919372128e-05,2.96385783088e-05,5.87638718677e-05,2.0930005251e-05,8.02829439323e-05,6.72080694964e-05,7.7198815589e-05,3.57008079332e-05,4.53369747515e-05,4.29106613253e-05,5.63582588563e-05,4.28515611491e-05,5.45143075928e-05,2.24224981353e-05,0.00011725880364,3.9743844822e-05,4.89521976168e-05,2.57013339373e-05,1.09423126797e-05,9.22522016676e-05,2.53604328356e-05,9.83061324591e-06,1.79597501084e-05,9.28276187659e-06,1.08132573565e-05,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06132724972e-05,1.5057853037e-05,1.74659276071e-05,2.23363954707e-05,2.70112158056e-05,2.80557631669e-05,6.12434074906e-05,3.66558742336e-05,3.79309056541e-05,3.35857873721e-05,2.73215306382e-05,2.93367162394e-05,3.67979162777e-05,3.47183888561e-05,2.2194499482e-05,2.1934159225e-05,1.94122287587e-05,2.01395321783e-05,4.95964770974e-05,2.9591270674e-05,2.47391074089e-05,3.60641627585e-05,3.69929367399e-05,2.36410247499e-05,3.44192745213e-05,4.6321661471e-05,5.24901242412e-05,3.58223650223e-05,3.2885508681e-05,4.61539812832e-05,4.28689018633e-05,5.37895312752e-05,5.6313449602e-05
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81343506386e-05,3.3023172403e-05,2.13179488139e-05,2.35709220832e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.99485184815e-05,5.80345275008e-05,0.0,0.0,4.75414479584e-05,3.39983834447e-05,3.23775791326e-05,2.42487676e-05,3.34934180102e-05,2.64137840393e-05,2.8230495091e-05,1.1148030581e-05,3.791418719e-05,3.0332665032e-05,4.42597346726e-05,7.1787163918e-05,0.000144451134831,3.32655328615e-05,4.17167754258e-05,4.63683016565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38054821075e-06,1.4628802022e-05,2.66457739804e-05,3.43891712508e-05,3.64716349111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08516265981e-05,1.10359282982e-05,2.03036359811e-05,5.7219400259e-05,1.55509765677e-05,1.43163459906e-05,1.18924437517e-05,3.7921582422e-05,4.83962761478e-05,2.12176205056e-05,3.38642047643e-05,1.74528752567e-05,2.92288065727e-05,3.50039306528e-05,2.08216970032e-05,2.51746525445e-05,4.87730584033e-05,1.88842816078e-05,2.61180962439e-05,3.52708538718e-05,3.38371163115e-05,2.77301628408e-05,2.77078027706e-05,5.05421257569e-05,0.000200180890139,6.22522679546e-05,3.16244596616e-05,3.6594424202e-05,5.46316533008e-05,9.21336489776e-05,7.09550681377e-05,3.37317474972e-05,3.24551051687e-05,7.46883109485e-05,5.51559859721e-05,0.000198641782613,0.000302059340417,5.66362685796e-05,5.1348813233e-05,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8745721817e-06,2.24377006312e-05,4.03490106123e-05,3.88435899458e-05,2.4866660853e-05,0.000104398110719,2.27851723834e-05,1.74020576324e-05,1.56781604357e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1710173392e-05,0.000357680485056,6.838184208e-05,0.000138104872308,0.000105589285767,2.94143773338e-05,0.000301076706436,0.0,0.000475236993274,0.000101951262021,0.000576939489497,3.03692850934e-05,0.000344281578989,4.54777765624e-05,7.82305716361e-05,9.93986291467e-05,0.000270997954479,6.44078692533e-05,3.19441568203e-05,6.01701678548e-05,0.000198703156065,0.000119503711307,0.000146549700557,0.000131077674902,7.24816060958e-05,0.000239613000823,8.94930772382e-05,0.00031975031585,4.20347101416e-05,4.74543397889e-05,6.42646965019e-05,7.81369858512e-05,0.000235771904662,0.000417810516828,6.80735758128e-05
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23554545347e-05,2.36286636465e-05,0.000256899638313,6.29669954694e-05,0.000615388207919,1.48273319807e-05,2.42794989736e-05,2.24279846298e-05,6.5609880729e-05,0.000104394743916,9.97900070516e-05,0.000866161831839,2.29517393924e-05,0.000135222236773,1.6042579419e-05,1.58680276799e-05,0.00021282133995,2.52602910121e-05,3.07411101706e-05,2.46639885835e-05,9.28661505334e-06,2.10812567432e-05,2.95509510641e-05,4.7419933947e-05,3.10156588874e-05,3.10635712685e-05,3.03288547997e-05,2.43125118568e-05,4.8498760404e-05,3.73359212624e-05,5.01467699873e-05,2.07916555849e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63610394579e-05,2.90625503688e-05,5.9607002945e-05,2.71215383094e-05,3.30250225857e-05,1.53951377615e-05,1.98195798858e-05,4.17043958528e-05,3.69372630819e-05,3.95162784002e-05,5.14413660329e-05,2.35120431357e-05,2.39384373459e-05,2.20968399319e-05,2.60028646022e-05,2.89912932899e-05,3.00252335206e-05,1.95533384704e-05,2.68397583346e-05,3.21878504739e-05,4.48717101954e-05,5.14886097222e-05,2.90804333617e-05,2.83820448207e-05,6.44822841679e-05,0.000222818231201,3.24827944582e-05,6.06436448402e-05,9.26071201899e-05,3.70685556861e-05,5.99025169345e-05,6.5780524344e-05,6.97517014107e-05,4.60799595382e-05,4.63103847107e-05,6.63538592753e-05
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48326887467e-05,2.94955901874e-05,3.79816648533e-05,3.79481465711e-05,3.17776402644e-05,4.31106430836e-05,4.34649595344e-05,5.4205072524e-05,4.19378090694e-05,9.29560730145e-05,7.45988664995e-05
